h	h_name	h_in_db	t	t_name	t_in_db	relation	split
ENSG00000285583		False	ENSG00000095059	DHPS	False		
ENST00000316786		False	ENSG00000095321	CRAT	False		
ENSG00000272817		False	ENSG00000095564	BTAF1	False		
STRG.6760		False	ENSG00000095739	BAMBI	False		
ENSG00000277602		False	ENSG00000095906	NUBP2	False		
ENSG00000255198	SNHG9	True	ENSG00000095906	NUBP2	False		
TCONS_00011799		False	ENSG00000096070	BRPF3	False		
ENSG00000261737		False	ENSG00000097033	SH3GLB1	False		
ENST00000454935		False	ENSG00000099194	SCD	True		
ENSG00000280211		False	ENSG00000099364	FBXL19	False		
ENSG00000260899		False	ENSG00000099364	FBXL19	False		
ENSG00000261840		False	ENSG00000099364	FBXL19	False		
ENSG00000260083	MIR762HG	False	ENSG00000099364	FBXL19	False		
ENSG00000261487		False	ENSG00000099364	FBXL19	False		
ENSG00000260852	FBXL19-AS1	True	ENSG00000099381	SETD1A	True		
ENSG00000260267		False	ENSG00000099381	SETD1A	True		
ENSG00000279196		False	ENSG00000099381	SETD1A	True		
ENSG00000260083	MIR762HG	False	ENSG00000099381	SETD1A	True		
ENSG00000261840		False	ENSG00000099385	BCL7C	False		
ENSG00000260852	FBXL19-AS1	True	ENSG00000099385	BCL7C	False		
ENSG00000280211		False	ENSG00000099385	BCL7C	False		
ENSG00000260083	MIR762HG	False	ENSG00000099385	BCL7C	False		
ENSG00000267751	BSG-AS1	False	ENSG00000099804	CDC34	True		
ENSG00000267751	BSG-AS1	False	ENSG00000099812	MISP	False		
ENSG00000279140		False	ENSG00000099814	CEP170B	False		
ENSG00000258701	LINC00638	False	ENSG00000099814	CEP170B	False		
ENSG00000267751	BSG-AS1	False	ENSG00000099821	POLRMT	False		
ENSG00000207751		False	ENSG00000100023	PPIL2	False		
ENSG00000260924	LINC01311	False	ENSG00000100056	ESS2	False		
ENSG00000185065	UFD1-AS1	False	ENSG00000100084	HIRA	False		
ENST00000565764		False	ENSG00000100099	HPS4	False		
ENSG00000213888	LINC01521	False	ENSG00000100100	PIK3IP1	False		
ENST00000565764		False	ENSG00000100104	SRRD	False		
ENSG00000270022		False	ENSG00000100243	CYB5R3	False		
ENSG00000270022		False	ENSG00000100266	PACSIN2	False		
TCONS_00029702		False	ENSG00000100311	PDGFB	True		
ENST00000442579		False	ENSG00000100348	TXN2	False		
ENSG00000258525		False	ENSG00000100473	COCH	False		
ENSG00000258377		False	ENSG00000100479	POLE2	False		
ENSG00000278002		False	ENSG00000100483	VCPKMT	False		
ENSG00000259049		False	ENSG00000100522	GNPNAT1	False		
ENST00000555707		False	ENSG00000100578	KIAA0586	False		
ENST00000556225		False	ENSG00000100578	KIAA0586	False		
ENST00000556400		False	ENSG00000100578	KIAA0586	False		
ENST00000557660		False	ENSG00000100578	KIAA0586	False		
ENST00000553657		False	ENSG00000100578	KIAA0586	False		
ENST00000557412		False	ENSG00000100578	KIAA0586	False		
ENST00000555037		False	ENSG00000100578	KIAA0586	False		
ENST00000554309		False	ENSG00000100578	KIAA0586	False		
ENSG00000258658	TOMM20L-DT	False	ENSG00000100578	KIAA0586	False		
ENSG00000280073		False	ENSG00000100632	ERH	False		
ENSG00000258964		False	ENSG00000100644	HIF1A	True		
ENSG00000214770		False	ENSG00000100714	MTHFD1	False		
ENSG00000260806	PAPOLA-DT	False	ENSG00000100744	GSKIP	True		
ENST00000555004		False	ENSG00000100744	GSKIP	True		
ENSG00000279656		False	ENSG00000100802	C14orf93	False		
ENSG00000259052		False	ENSG00000100811	YY1	True		
ENSG00000259001		False	ENSG00000100823	APEX1	True		
ENSG00000258727	AP1G2-AS1	False	ENSG00000100836	PABPN1	False		
ENSG00000258655	ARHGAP5-AS1	True	ENSG00000100852	ARHGAP5	False		
ENSG00000260669		False	ENSG00000100889	PCK2	False		
ENSG00000259321		False	ENSG00000100897	DCAF11	True		
ENSG00000260669		False	ENSG00000100911	PSME2	False		
ENSG00000258938		False	ENSG00000100916	BRMS1L	True		
ENSG00000257272		False	ENSG00000100916	BRMS1L	True		
ENSG00000259321		False	ENSG00000100938	GMPR2	False		
CUFF.52002		False	ENSG00000100938	GMPR2	False		
CUFF.52002		False	ENSG00000100968	NFATC4	False		
CUFF.112380		False	ENSG00000101115	SALL4	True		
CUFF.112969		False	ENSG00000101150	TPD52L2	False		
ENST00000449500		False	ENSG00000101150	TPD52L2	False		
ENST00000411579		False	ENSG00000101150	TPD52L2	False		
ENSG00000268858		False	ENSG00000101152	DNAJC5	False		
